consumer,resource,NA,NA,NA
Peripsocus,genus,NA,0.00325,terrestrial aboveground
Ectopsocopsis_cryptomeriae,species,NA,0.00325,terrestrial aboveground
Liposcelis_bostrychophilus,species,NA,0.00325,terrestrial aboveground
Embidopsocus_laticeps,species,NA,0.00325,terrestrial aboveground
Belaphotroctes_okalensis,species,NA,0.00325,terrestrial aboveground
Echmepteryx_hageni,species,NA,0.00325,terrestrial aboveground
Lachesilla,genus,NA,0.00325,terrestrial aboveground
Psocidus_texanus,species,NA,0.00325,terrestrial aboveground
Trogiomorpha,order,NA,0.00325,terrestrial aboveground
Archipsocus_panama,species,NA,0.00325,terrestrial aboveground
Lichenomima,genus,NA,0.00325,terrestrial aboveground
Dictyna,genus,NA,0.00325,terrestrial aboveground
Lophoproctinus_bartachi,species,NA,0.0035,terrestrial aboveground
Euchrysia,genus,NA,0.003869709,terrestrial aboveground
Urolepis_rufipes,species,NA,0.003869709,terrestrial aboveground
Camponotus_planatus,species,NA,0.003869709,terrestrial aboveground
Colobopsis,genus,NA,0.003869709,terrestrial aboveground
Sergiolus,genus,NA,0.0039,terrestrial aboveground
Blissus_insularis,species,NA,0.004,terrestrial aboveground
Ballus,genus,NA,0.004,terrestrial aboveground
Misumenops,genus,NA,0.004,terrestrial aboveground
Cycloptilum,genus,NA,0.018459537,terrestrial aboveground
Cyrtoxipha,genus,NA,0.018459537,terrestrial aboveground
Pseudoacalles,genus,NA,0.00423,terrestrial aboveground
Argiope_argentata,species,NA,0.00459071,terrestrial aboveground
Aratus_pisonii,species,NA,0.311301534,terrestrial aboveground
Tricorynus,genus,NA,0.005,terrestrial aboveground
Cryptorama_minutum,species,NA,0.005,terrestrial aboveground
Ceroplastes,genus,NA,0.005,terrestrial aboveground
Uloborus,genus,NA,0.005,terrestrial aboveground
Lynchia_albipennis,species,NA,0.0055,terrestrial aboveground
Olfersia_sordida,species,NA,0.0055,terrestrial aboveground
Diradius_caribbeana,species,NA,0.0055,terrestrial aboveground
Mangora,genus,NA,0.006,terrestrial aboveground
Hentzia_palmarum,species,NA,0.006,terrestrial aboveground
Anyphaena,genus,NA,0.006,terrestrial aboveground
Styloleptus_biustus,species,NA,0.0065,terrestrial aboveground
Oliarus,genus,NA,0.0065,terrestrial aboveground
Aysha_velox,species,NA,0.0065,terrestrial aboveground
Gnaphosa,genus,NA,0.0066,terrestrial aboveground
Neotermes_castaneus,species,NA,0.006623951,terrestrial aboveground
Pirata,genus,NA,0.00665,terrestrial aboveground
Leucauge_venusta,species,NA,0.00675,terrestrial aboveground
Sapintus_fulvipes,species,NA,0.007,terrestrial aboveground
Vacusus_vicinus,species,NA,0.007,terrestrial aboveground
Copidita_suturalis,species,NA,0.007,terrestrial aboveground
Oxacis,genus,NA,0.007,terrestrial aboveground
Oxycopis,genus,NA,0.007,terrestrial aboveground
Gasteracantha_ellipsoides,species,NA,0.007,terrestrial aboveground
Maevia_vittata,species,NA,0.007,terrestrial aboveground
Paracryptocerus_varians,species,NA,0.00744984,terrestrial aboveground
Scaphytopius,genus,NA,0.0075,terrestrial aboveground
Argyrodes_nephilae,species,NA,0.0077,terrestrial aboveground
Neurotmeta_breviceps,species,NA,0.008,terrestrial aboveground
Eustala,genus,NA,0.008,terrestrial aboveground
Paraphidippus_flavus,species,NA,0.008,terrestrial aboveground
Saproglyphidae,family,NA,0.008,terrestrial aboveground
Brachymeria_psyche,species,NA,0.008284363,terrestrial aboveground
Kalotermes_jouteli,species,NA,0.008284363,terrestrial aboveground
Odonata,order,NA,0.399604248,terrestrial aboveground
Membracidae,family,NA,0.0085,terrestrial aboveground
Stoidis_aurata,species,NA,0.009,terrestrial aboveground
Littorina_angulifera,species,NA,0.588325869,terrestrial aboveground
Chauliognathus_marginatus,species,NA,0.0095,terrestrial aboveground
Leptostylus,genus,NA,0.01,terrestrial aboveground
Ariadna_arthuri,species,NA,0.01,terrestrial aboveground
Tetragnatha,genus,NA,0.01,terrestrial aboveground
Chrysomelidae,family,NA,0.0105,terrestrial aboveground
Acanalonia_latifrons,species,NA,0.011,terrestrial aboveground
Actenodes_auronotata,species,NA,0.0115,terrestrial aboveground
Flatoidinus_punctatus,species,NA,0.0115,terrestrial aboveground
Metacyrba_undata,species,NA,0.0115,terrestrial aboveground
Metepeira_labyrinthea,species,NA,0.012,terrestrial aboveground
Micronaspis_floridana,species,NA,0.0125,terrestrial aboveground
Camponotus_tortuganus,species,NA,0.013570258,terrestrial aboveground
Camponotus_floridanus,species,NA,0.013570258,terrestrial aboveground
Chrysobothris,genus,NA,0.0136,terrestrial aboveground
Eriophora,genus,NA,0.014,terrestrial aboveground
Syrphidae,family,NA,0.015,terrestrial aboveground
Cucujidae,family,NA,0.0155,terrestrial aboveground
Pseudomyrmex_elongatus,species,NA,0.016248394,terrestrial aboveground
Polistes,genus,NA,0.016248394,terrestrial aboveground
Chrysopa,genus,NA,0.017427594,terrestrial aboveground
Orocharis_gryllodes,species,NA,0.083718572,terrestrial aboveground
Tafaliscu_lurida,species,NA,0.083718572,terrestrial aboveground
Labidura_riparia,species,NA,0.0215,terrestrial aboveground
Ataxia,genus,NA,0.023,terrestrial aboveground
Nemapogon,genus,NA,0.025336077,terrestrial aboveground
Pyraustidae,family,NA,0.027,terrestrial aboveground
Ligia_exotica,species,NA,1.348779475,terrestrial aboveground
Dolomedes,genus,NA,0.03,terrestrial aboveground
Nephila_clavipes,species,NA,0.032,terrestrial aboveground
Trypoxylon_collinum,species,NA,0.040552112,terrestrial aboveground
Pachodynerus_nasidens,species,NA,0.053463429,terrestrial aboveground
Aglaopteryx,genus,NA,0.054003595,terrestrial aboveground
Alarodia_slossoniae,species,NA,0.055875412,terrestrial aboveground
Lapisma_sp.,NA,NA,0.057932236,terrestrial aboveground
Latiblattella,genus,NA,0.057932236,terrestrial aboveground
Oiketicus_abbottii,species,NA,0.071247903,terrestrial aboveground
Calliephialtes_ferrugineus,species,NA,0.098554409,terrestrial aboveground
Casinaria_texana,species,NA,0.098554409,terrestrial aboveground
Ecdytolopha,genus,NA,0.148376753,terrestrial aboveground
Bema_ydda,species,NA,0.205558315,terrestrial aboveground
Orphnaeus_brasilianus,species,NA,0.22,terrestrial aboveground
Oxydia,genus,NA,0.262111693,terrestrial aboveground
Orgygia_detrita,species,NA,0.313497562,terrestrial aboveground
Turpilia_rostrata,species,NA,0.388073661,terrestrial aboveground
Melipotis,genus,NA,0.40131981,terrestrial aboveground
Tholeria_reversalis,species,NA,0.578053133,terrestrial aboveground
Arunta_interclusa,species,NA,0.787365181,terrestrial aboveground
Apocrita,order,NA,0.826845887,terrestrial aboveground
Phocides_batabano,species,NA,1.36330884,terrestrial aboveground
Natrix,genus,NA,100,terrestrial aboveground
Automeris_io,species,NA,2.636851999,terrestrial aboveground
Scytodes,genus,NA,4.75,terrestrial aboveground
Phoebis_agarithe,species,NA,5.536546454,terrestrial aboveground
Ascia_monuste,species,NA,6.828348317,terrestrial aboveground
Agelaius_phoeniceus,species,NA,54.5,terrestrial aboveground
Dendroica,genus,NA,8,terrestrial aboveground
Nephila_clavipes,species,NA,0.032,terrestrial aboveground
Chrysopa,genus,NA,0.017427594,terrestrial aboveground
Syrphidae,family,NA,0.015,terrestrial aboveground
Metepeira_labyrinthea,species,NA,0.012,terrestrial aboveground
Metacyrba_undata,species,NA,0.0115,terrestrial aboveground
Tetragnatha,genus,NA,0.01,terrestrial aboveground
Stoidis_aurata,species,NA,0.009,terrestrial aboveground
Paraphidippus_flavus,species,NA,0.008,terrestrial aboveground
Argyrodes_nephilae,species,NA,0.0077,terrestrial aboveground
Maevia_vittata,species,NA,0.007,terrestrial aboveground
Pirata,genus,NA,0.00665,terrestrial aboveground
Hentzia_palmarum,species,NA,0.006,terrestrial aboveground
Uloborus,genus,NA,0.005,terrestrial aboveground
Argiope_argentata,species,NA,0.00459071,terrestrial aboveground
Ballus,genus,NA,0.004,terrestrial aboveground
Dictyna,genus,NA,0.00325,terrestrial aboveground
Theridion,genus,NA,0.0023,terrestrial aboveground
Meioneta,genus,NA,0.00175,terrestrial aboveground
Sphaerolophus,genus,NA,6.37e-5,terrestrial aboveground
Phalacrocorax_dilophus,species,NA,2568.732374,terrestrial aboveground
Cheyletia_wellsi,species,NA,4.83e-7,terrestrial aboveground
Cucujidae,family,NA,0.0155,terrestrial aboveground
Natrix,genus,NA,100,terrestrial aboveground
Carthasis_decoratus,species,NA,0.009,terrestrial aboveground
Metatropiphorus_belfragei,species,NA,0.009,terrestrial aboveground
Tyrannochelifer,genus,NA,0.00255,terrestrial aboveground
Veigaia,genus,NA,7.95e-4,terrestrial aboveground
Amblyseius,genus,NA,4e-4,terrestrial aboveground
Butorides_virescens,species,NA,240,terrestrial aboveground
Tydeidae,family,NA,2e-4,terrestrial aboveground
Pelecanus,genus,NA,3500,terrestrial aboveground
Odonata,order,NA,0.399604248,terrestrial aboveground
Bdella,genus,NA,8.52e-6,terrestrial aboveground
Scytodes,genus,NA,4.75,terrestrial aboveground
Pachodynerus_nasidens,species,NA,0.053463429,terrestrial aboveground
Dolomedes,genus,NA,0.03,terrestrial aboveground
Labidura_riparia,species,NA,0.0215,terrestrial aboveground
Trochopus_plumbeus,species,NA,0.008,terrestrial aboveground
Gasteracantha_ellipsoides,species,NA,0.007,terrestrial aboveground
Scleroderma_macrogaster,species,NA,0.002300114,terrestrial aboveground
Pentacora_sphacelata,species,NA,0.032069663,terrestrial aboveground
Gnaphosa,genus,NA,0.0066,terrestrial aboveground
Aysha_velox,species,NA,0.0065,terrestrial aboveground
Anyphaena,genus,NA,0.006,terrestrial aboveground
Staphylinidae,family,NA,0.0476,terrestrial aboveground
Pseudomyrmex_elongatus,species,NA,0.016248394,terrestrial aboveground
Orphnaeus_brasilianus,species,NA,0.22,terrestrial aboveground
Scydmaenidae,family,NA,0.003,terrestrial aboveground
Misumenops,genus,NA,0.004,terrestrial aboveground
Sergiolus,genus,NA,0.0039,terrestrial aboveground
Orius,genus,NA,0.0035,terrestrial aboveground
Ariadna_arthuri,species,NA,0.01,terrestrial aboveground
Leucauge_venusta,species,NA,0.00675,terrestrial aboveground
Camponotus_tortuganus,species,NA,0.013570258,terrestrial aboveground
Camponotus_floridanus,species,NA,0.013570258,terrestrial aboveground
Mangora,genus,NA,0.006,terrestrial aboveground
Camponotus_planatus,species,NA,0.003869709,terrestrial aboveground
Colobopsis,genus,NA,0.003869709,terrestrial aboveground
Eriophora,genus,NA,0.014,terrestrial aboveground
Aratus_pisonii,species,NA,0.311301534,terrestrial aboveground
Eustala,genus,NA,0.008,terrestrial aboveground
Crematogaster_ashmeadi,species,NA,0.001558448,terrestrial aboveground
Paratrechina_bourbonica,species,NA,0.00114621,terrestrial aboveground
Xenomyrmex_floridanus,species,NA,7.60079e-4,terrestrial aboveground
Brachymyrmex,genus,NA,3.98141e-4,terrestrial aboveground
Micronaspis_floridana,species,NA,0.0125,terrestrial aboveground
Bembidion_contractum,species,NA,0.0051,terrestrial aboveground
Tachys_occulator,species,NA,0.0035,terrestrial aboveground
Arctoseius,genus,NA,5.3e-7,terrestrial aboveground
Entonyssus,genus,NA,0.021508161,terrestrial aboveground
Melichares,genus,NA,3.59e-6,terrestrial aboveground
